Account,Fee,Flags,LastLedgerSequence,OfferSequence,Sequence,SigningPubKey,TakerGets,TakerPays,TransactionType,TxnSignature,hash
rrpNnNLKrartuEqfJGpqyDwPj1AFPg9vn1,10,0,,,10802,03334036A48CADBAF67F95DD344C2FC17A33213697F6F10B9994D5D1D77F439291,,,Payment,30450221009423D7ABB301398C13CED28C160237FC91C7CB64EC7994BE55BF43B0F0A9617D02207D0D006FE8B86FEFF49483B53FA37FB4F2EA850015C6CC1F8594FF6ABCF52E6F,537B5DAF4998888137770EEF3F517D099A87C5028C6B7D6C4A4A44D89D47DB65
rBoVYGPaKJmbzhukVDHrqMk9U52EyZQ1hx,10,0,,,1,021DD2BBC7D84C094E71333C0BEC62C974831C680CD69E149F3C69411DC86E5C8D,,,Payment,304502200626C04175012A52F34FA3A258C0882B1053F6971836FDF46EA17D38149A3451022100C0630C085083123E4967ECA460E87523130711C852A6D9A062BB8E196387D402,8DD38FF5BBF51F5D3D41F863B4AE884E7EA8530C2871A880EBADF5BD7663603E
rUSdkSimxiENqKyrExauLatszy7mnG83fH,10,0,,,38829,0350B9A9B0503084405ECA1672B25446D198B7A754F63C524723E543E4810A5585,,,Payment,3045022100C54894AAE0EE0A23D2D926173084C9D3A384F65E11C1E868A04CBD41F77F81C202202BC851151F553F6AB83BEE08593A0FFDC6CEC86428F8E8E86C7307F2CE6F6519,CA599185576EC3CA8B39C0CC59A0AE9C4C15969757DFDB4BC3A90F6E2F24557A
rpyUV8W6XRvss6SBkAS8PyzGwMsSDxgNXW,10,0,,,51930,03738B416232A39F4426F19E10D8411D460B5B0BA81C6561C1A23C71F1C5D85107,,,Payment,30440220017FCFE9E21DCDE4D4839ADA0AA1C548291D5387DA0F5A5B320629AA613850230220156D41B5F29C5120235D2BC573CB46EEA1016F9D0988014A0D2706BBAE85B115,A1F478AC5C455B32A0DB2D3027D19F0100B7DE17930F717C873A2ADB79ECA3F0
